X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)",X[s],"Trigno IM sensor 16: EMG 16 (IM)",X[s],"Trigno IM sensor 16: ACC X 16 (IM)",X[s],"Trigno IM sensor 16: ACC Y 16 (IM)",X[s],"Trigno IM sensor 16: ACC Z 16 (IM)",X[s],"Trigno IM sensor 16: Gyro X 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Y 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Z 16 (IM)",X[s],"Trigno IM sensor 16: Mag X 16 (IM)",X[s],"Trigno IM sensor 16: Mag Y 16 (IM)",X[s],"Trigno IM sensor 16: Mag Z 16 (IM)"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,0,0.0135,0,0.0135,0,0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,0,0.0135,0,0.0135,0
0.0018,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.027,0,0.027,0,0.027,0,0.0018,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.027,0,0.027,0,0.027,0
0.0027,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.0405,0,0.0405,0,0.0405,0,0.0027,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.0405,0,0.0405,0,0.0405,0
0.0036,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.054,-26.1,0.054,-78.2,0.054,-16.6,0.0036,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.054,48.1,0.054,14.1,0.054,-283.9
0.0045,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.0675,-26.1,0.0675,-78.5,0.0675,-16.8,0.0045,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.0675,48.6,0.0675,13.9,0.0675,-284.7
0.0054,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.081,-26.1,0.081,-78.3,0.081,-16.9,0.0054,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.081,48.2,0.081,14.1,0.081,-284.1
0.0063,0,0.04725,0,0.04725,0,0.04725,0,0.04725,0,0.04725,0,0.04725,0,0.0945,-25.9,0.0945,-78.3,0.0945,-19.5,0.0063,0,0.04725,0,0.04725,0,0.04725,0,0.04725,0,0.04725,0,0.04725,0,0.0945,48.4,0.0945,14.4,0.0945,-283.2
0.0072,0,0.054,0.05810547,0.054,-0.8203125,0.054,-0.1662598,0.054,-10.87786,0.054,21.48855,0.054,-31.54198,0.108,-26.3,0.108,-78.9,0.108,-17.9,0.0072,0,0.054,1.028076,0.054,-0.05810547,0.054,0.2304688,0.054,-0.1755725,0.054,-12.70229,0.054,-13.15267,0.108,48.5,0.108,14.5,0.108,-283.9
0.0081,0,0.06075,0.04248047,0.06075,-0.8237305,0.06075,-0.1630859,0.06075,-8.832061,0.06075,19.24427,0.06075,-32.38168,0.1215,-26.4,0.1215,-78,0.1215,-18.6,0.0081,0,0.06075,1.082031,0.06075,-0.1030273,0.06075,0.2609863,0.06075,0.3664122,0.06075,-15.8855,0.06075,-14.24428,0.1215,48.6,0.1215,14.1,0.1215,-282.6
0.009000001,0,0.0675,0.02416992,0.0675,-0.8286133,0.0675,-0.1694336,0.0675,-7.717557,0.0675,17.48855,0.0675,-33.27481,0.135,-26.4,0.135,-77.9,0.135,-18.4,0.009000001,0,0.0675,1.052979,0.0675,-0.0715332,0.0675,0.2539063,0.0675,-0.2519084,0.0675,-23.47328,0.0675,-17.19084,0.135,48.4,0.135,14.8,0.135,-283.3
0.0099,0,0.07425,0.03320313,0.07425,-0.8103027,0.07425,-0.1916504,0.07425,-4.961832,0.07425,12.81679,0.07425,-33.96183,0.1485,-26.8,0.1485,-77.2,0.1485,-18.4,0.0099,0,0.07425,1.056152,0.07425,-0.06787109,0.07425,0.2780762,0.07425,-0.7099237,0.07425,-29.10687,0.07425,-18.73282,0.1485,48.7,0.1485,14.4,0.1485,-284.3
0.0108,0,0.081,0.01806641,0.081,-0.8081055,0.081,-0.2050781,0.081,-3.694656,0.081,14.0229,0.081,-35.58779,0.162,-26.9,0.162,-77.9,0.162,-18,0.0108,0,0.081,1.073975,0.081,-0.06884766,0.081,0.2399902,0.081,-4.458015,0.081,-29.08397,0.081,-19.07634,0.162,48.7,0.162,14.1,0.162,-283.6
0.0117,0,0.08775,0.01489258,0.08775,-0.7956543,0.08775,-0.2224121,0.08775,-2.099237,0.08775,13.66412,0.08775,-36.36641,0.1755,-26.7,0.1755,-77.9,0.1755,-17.9,0.0117,0,0.08775,1.087646,0.08775,-0.07910156,0.08775,0.2219238,0.08775,-4.351145,0.08775,-29.49618,0.08775,-20.54198,0.1755,49,0.1755,14.4,0.1755,-283
0.0126,0,0.0945,0.02001953,0.0945,-0.7897949,0.0945,-0.2441406,0.0945,-0.6412213,0.0945,10.36641,0.0945,-36.87023,0.189,-26.4,0.189,-78,0.189,-17.4,0.0126,0,0.0945,1.093262,0.0945,-0.06298828,0.0945,0.2053223,0.0945,-8.083969,0.0945,-23.50382,0.0945,-21.27481,0.189,48.7,0.189,14.3,0.189,-283.8
0.0135,0,0.10125,0.02783203,0.10125,-0.7729492,0.10125,-0.2695313,0.10125,0.7022901,0.10125,5.526718,0.10125,-37.19084,0.2025,-26.4,0.2025,-78.3,0.2025,-18.9,0.0135,0,0.10125,1.139648,0.10125,-0.07104492,0.10125,0.2060547,0.10125,-10.72519,0.10125,-22.86259,0.10125,-22.16794,0.2025,48,0.2025,14.4,0.2025,-285.5
0.0144,0,0.108,0.04394531,0.108,-0.7619629,0.108,-0.2600098,0.108,2.427481,0.108,1.206107,0.108,-37.08397,0.216,-26.3,0.216,-77.9,0.216,-19.6,0.0144,0,0.108,1.148682,0.108,-0.0871582,0.108,0.1608887,0.108,-22.52672,0.108,-20.67175,0.108,-23.92366,0.216,48.2,0.216,14.8,0.216,-284.7
