X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)",X[s],"Trigno IM sensor 16: EMG 16 (IM)",X[s],"Trigno IM sensor 16: ACC X 16 (IM)",X[s],"Trigno IM sensor 16: ACC Y 16 (IM)",X[s],"Trigno IM sensor 16: ACC Z 16 (IM)",X[s],"Trigno IM sensor 16: Gyro X 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Y 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Z 16 (IM)",X[s],"Trigno IM sensor 16: Mag X 16 (IM)",X[s],"Trigno IM sensor 16: Mag Y 16 (IM)",X[s],"Trigno IM sensor 16: Mag Z 16 (IM)"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,-29.1,0.0135,-86.5,0.0135,18.2,0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,0,0.0135,0,0.0135,0
0.0018,0,0.0135,-0.2810059,0.0135,-1.245361,0.0135,-0.1992188,0.0135,44.21374,0.0135,-18.28244,0.0135,86.93893,0.027,-28.9,0.027,-86.7,0.027,20.5,0.0018,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.027,0,0.027,0,0.027,0
0.0027,0,0.02025,-0.1516113,0.02025,-1.3396,0.02025,-0.1591797,0.02025,59.48855,0.02025,-20.0916,0.02025,98.37405,0.0405,-28.5,0.0405,-87.2,0.0405,18.2,0.0027,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.0405,0,0.0405,0,0.0405,0
0.0036,0,0.027,0.01318359,0.027,-1.451416,0.027,0.003417969,0.027,69.72519,0.027,-7.78626,0.027,108.4962,0.054,-27.8,0.054,-86.9,0.054,17.9,0.0036,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.054,0,0.054,0,0.054,0
0.0045,0,0.03375,0.1774902,0.03375,-1.379639,0.03375,0.1694336,0.03375,89.9542,0.03375,1.748092,0.03375,119.8092,0.0675,-28,0.0675,-87.5,0.0675,18.5,0.0045,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.0675,0,0.0675,0,0.0675,0
0.0054,0,0.0405,0.3410645,0.0405,-1.225342,0.0405,0.2019043,0.0405,106.9084,0.0405,-7.923664,0.0405,130.6183,0.081,-26.9,0.081,-87.3,0.081,18,0.0054,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.081,33.9,0.081,12.3,0.081,-257.8
0.0063,0,0.04725,0.5297852,0.04725,-1.147949,0.04725,0.09155273,0.04725,116.6336,0.04725,-21.33588,0.04725,140.916,0.0945,-26.7,0.0945,-87.5,0.0945,16.6,0.0063,0,0.04725,0,0.04725,0,0.04725,0,0.04725,0,0.04725,0,0.04725,0,0.0945,33.8,0.0945,11.4,0.0945,-255.2
0.0072,0,0.054,0.6418457,0.054,-1.047607,0.054,-0.09130859,0.054,126.9847,0.054,-9.526717,0.054,146.0076,0.108,-26.7,0.108,-87.4,0.108,18.9,0.0072,0,0.054,0,0.054,0,0.054,0,0.054,0,0.054,0,0.054,0,0.108,32.6,0.108,11.5,0.108,-255
0.0081,0,0.06075,0.6838379,0.06075,-0.973877,0.06075,-0.1975098,0.06075,129.3893,0.06075,4.38168,0.06075,148.2366,0.1215,-26.7,0.1215,-86.9,0.1215,18.3,0.0081,0,0.06075,0,0.06075,0,0.06075,0,0.06075,0,0.06075,0,0.06075,0,0.1215,32.3,0.1215,11.7,0.1215,-254.1
