X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)",X[s],"Trigno IM sensor 16: EMG 16 (IM)",X[s],"Trigno IM sensor 16: ACC X 16 (IM)",X[s],"Trigno IM sensor 16: ACC Y 16 (IM)",X[s],"Trigno IM sensor 16: ACC Z 16 (IM)",X[s],"Trigno IM sensor 16: Gyro X 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Y 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Z 16 (IM)",X[s],"Trigno IM sensor 16: Mag X 16 (IM)",X[s],"Trigno IM sensor 16: Mag Y 16 (IM)",X[s],"Trigno IM sensor 16: Mag Z 16 (IM)"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,0,0.0135,0,0.0135,0,0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,0,0.0135,0,0.0135,0
0.0018,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.027,-23.4,0.027,-94.1,0.027,-14.4,0.0018,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.027,33.5,0.027,13.4,0.027,-242.6
0.0027,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.0405,-22.7,0.0405,-94.5,0.0405,-12.3,0.0027,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.0405,33.9,0.0405,14.1,0.0405,-241
0.0036,0,0.027,-1.052002,0.027,0.2185059,0.027,-0.01025391,0.027,-10.73282,0.027,-4.480916,0.027,49.66412,0.054,-23.4,0.054,-94.8,0.054,-13.1,0.0036,0,0.027,1.759277,0.027,0.4404297,0.027,0.1855469,0.027,62.99237,0.027,-81.21374,0.027,236.0687,0.054,34.4,0.054,14.9,0.054,-240.7
0.0045,0,0.03375,-1.06665,0.03375,0.2475586,0.03375,0.004394531,0.03375,-4.900764,0.03375,-9.938931,0.03375,51.90076,0.0675,-23.1,0.0675,-94.6,0.0675,-12.2,0.0045,0,0.03375,1.788574,0.03375,0.4763184,0.03375,0.1638184,0.03375,69.26717,0.03375,-82.39695,0.03375,231.7481,0.0675,36.3,0.0675,15.1,0.0675,-238.5
0.0054,0,0.0405,-1.071045,0.0405,0.263916,0.0405,0,0.0405,-4.51145,0.0405,-12.31298,0.0405,52.85496,0.081,-24,0.081,-95.3,0.081,-12.3,0.0054,0,0.0405,1.821045,0.0405,0.5319824,0.0405,0.1496582,0.0405,75.69466,0.0405,-81.54198,0.0405,226.5114,0.081,37.6,0.081,15.7,0.081,-239.8
0.0063,0,0.04725,-1.030029,0.04725,0.2248535,0.04725,-0.02050781,0.04725,-9.885496,0.04725,-12.19084,0.04725,53.16794,0.0945,-24.7,0.0945,-95.2,0.0945,-11.3,0.0063,0,0.04725,1.844727,0.04725,0.5922852,0.04725,0.1384277,0.04725,79.46565,0.04725,-78.84733,0.04725,221.3969,0.0945,38.5,0.0945,15.8,0.0945,-237.8
0.0072,0,0.054,-1.032471,0.054,0.2685547,0.054,0.0480957,0.054,-2.21374,0.054,-12.9313,0.054,54.9084,0.108,-25,0.108,-96.1,0.108,-11.5,0.0072,0,0.054,1.852539,0.054,0.6525879,0.054,0.1166992,0.054,81.25191,0.054,-75.15267,0.054,216.2977,0.108,40.1,0.108,16.1,0.108,-237.4
0.0081,0,0.06075,-1.033447,0.06075,0.2412109,0.06075,0.02197266,0.06075,-4,0.06075,-16.35114,0.06075,55.71756,0.1215,-24.7,0.1215,-96.5,0.1215,-10.7,0.0081,0,0.06075,1.829346,0.06075,0.7050781,0.06075,0.1000977,0.06075,81.21374,0.06075,-71.80153,0.06075,212.1908,0.1215,41.9,0.1215,14.9,0.1215,-237.6
0.009000001,0,0.0675,-1.057129,0.0675,0.244873,0.0675,0.008056641,0.0675,-4.61832,0.0675,-9.496183,0.0675,56.76336,0.135,-26,0.135,-96.4,0.135,-10.3,0.009000001,0,0.0675,1.802979,0.0675,0.7709961,0.0675,0.0690918,0.0675,78.50381,0.0675,-68.40458,0.0675,207.8473,0.135,43.1,0.135,12.8,0.135,-237.9
0.0099,0,0.07425,-1.05957,0.07425,0.2304688,0.07425,0.06298828,0.07425,1.793893,0.07425,-17.60305,0.07425,58.00763,0.1485,-26.6,0.1485,-96.2,0.1485,-10.7,0.0099,0,0.07425,1.769531,0.07425,0.8251953,0.07425,0.04321289,0.07425,74.19847,0.07425,-65.38931,0.07425,202.855,0.1485,43.5,0.1485,13,0.1485,-237.1
0.0108,0,0.081,-1.025391,0.081,0.1833496,0.081,-0.002197266,0.081,-1.328244,0.081,-12.67176,0.081,58.20611,0.162,-26.8,0.162,-96.8,0.162,-9.9,0.0108,0,0.081,1.719727,0.081,0.8730469,0.081,0.03588867,0.081,68.48092,0.081,-64.67175,0.081,196.3588,0.162,43.2,0.162,12.5,0.162,-237.2
0.0117,0,0.08775,-1.04834,0.08775,0.2380371,0.08775,0.1604004,0.08775,12.34351,0.08775,-13.64886,0.08775,61.70229,0.1755,-27.4,0.1755,-97.1,0.1755,-10,0.0117,0,0.08775,1.674561,0.08775,0.9128418,0.08775,0.03295898,0.08775,62.51145,0.08775,-64.98473,0.08775,188.8626,0.1755,43.3,0.1755,12.3,0.1755,-238.1
0.0126,0,0.0945,-1.037842,0.0945,0.2932129,0.0945,0.1079102,0.0945,7.21374,0.0945,-12.20611,0.0945,63.1145,0.189,-27.2,0.189,-97.3,0.189,-10.6,0.0126,0,0.0945,1.597412,0.0945,0.9609375,0.0945,0.03369141,0.0945,55.73283,0.0945,-67.49619,0.0945,178.5496,0.189,43.6,0.189,11.5,0.189,-237.9
0.0135,0,0.10125,-1.082031,0.10125,0.2512207,0.10125,0.1062012,0.10125,10.16031,0.10125,-1.175573,0.10125,64.90839,0.2025,-28.5,0.2025,-97.3,0.2025,-10.9,0.0135,0,0.10125,1.508789,0.10125,1.013916,0.10125,0.06445313,0.10125,48.59542,0.10125,-73.41222,0.10125,168.4275,0.2025,42,0.2025,11.3,0.2025,-238.1
