X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,0,0.0135,0,0.0135,0
0.0018,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.027,0,0.027,0,0.027,0
0.0027,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.0405,-50.1,0.0405,-141.1,0.0405,11.2
0.0036,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.054,-52.3,0.054,-142.7,0.054,10.6
0.0045,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.0675,-55.8,0.0675,-142.7,0.0675,9.4
0.0054,0,0.0405,-2,0.0405,0.2905273,0.0405,0.4172363,0.0405,37.89313,0.0405,-23.22901,0.0405,146.1374,0.081,-63.6,0.081,-141.7,0.081,11.2
0.0063,0,0.04725,-1.07959,0.04725,0.9619141,0.04725,0.2958984,0.04725,-43.27481,0.04725,-47.78626,0.04725,230.0305,0.0945,-70.5,0.0945,-138.8,0.0945,11.3
0.0072,0,0.054,0.09350586,0.054,-0.2807617,0.054,0.6013184,0.054,-155.2519,0.054,-25.0229,0.054,116.5115,0.108,-75.4,0.108,-136.5,0.108,10.4
0.0081,0,0.06075,-0.5771484,0.06075,-2,0.06075,-0.1054688,0.06075,-174.1985,0.06075,26.80916,0.06075,49.68702,0.1215,-79,0.1215,-133.8,0.1215,8.9
0.009000001,0,0.0675,-1.562744,0.0675,-2,0.0675,-0.4946289,0.0675,-92.229,0.0675,20.63359,0.0675,96.66412,0.135,-82.3,0.135,-131.4,0.135,11.6
0.0099,0,0.07425,-2,0.07425,-2,0.07425,-0.4968262,0.07425,164.9389,0.07425,17.21374,0.07425,223.0992,0.1485,-86.2,0.1485,-128.5,0.1485,11.6
0.0108,0,0.081,-2,0.081,0.3742676,0.081,-0.4418945,0.081,250.1298,0.081,67.23664,0.081,250.1298,0.162,-88,0.162,-124.8,0.162,14.3
0.0117,0,0.08775,-2,0.08775,1.999939,0.08775,0.03125,0.08775,179.7786,0.08775,35.50382,0.08775,250.1298,0.1755,-89.7,0.1755,-122.2,0.1755,13.1
0.0126,0,0.0945,-2,0.0945,1.999939,0.0945,0.5007324,0.0945,9.442748,0.0945,-45.41221,0.0945,250.1298,0.189,-92.6,0.189,-117.2,0.189,15.2
0.0135,0,0.10125,-1.423096,0.10125,1.193115,0.10125,0.3942871,0.10125,-67.80153,0.10125,-104.4122,0.10125,139.9237,0.2025,-92.9,0.2025,-114.1,0.2025,15.1
0.0144,0,0.108,-1.234131,0.108,-0.3220215,0.108,0.347168,0.108,-129.2061,0.108,-100.8855,0.108,92.48092,0.216,-93.7,0.216,-111.7,0.216,15.3
0.0153,0,0.11475,-0.7980957,0.11475,-1.059814,0.11475,0.2802734,0.11475,-78.30534,0.11475,-78.70992,0.11475,123.6107,0.2295,-93.8,0.2295,-109.8,0.2295,17.5
0.0162,0,0.1215,-0.2160645,0.1215,-0.9404297,0.1215,0.4807129,0.1215,18.0687,0.1215,-59.79389,0.1215,159.0229,0.243,-93.8,0.243,-108.3,0.243,17.2
0.0171,0,0.12825,-0.2990723,0.12825,0.2792969,0.12825,0.6140137,0.12825,53.33588,0.12825,-17.00763,0.12825,184.7481,0.2565,-92.8,0.2565,-106.2,0.2565,19.3
0.018,0,0.135,-0.9794922,0.135,1.109131,0.135,0.6533203,0.135,9.045801,0.135,0.4274809,0.135,179.0763,0.27,-92.6,0.27,-104.5,0.27,19.3
0.0189,0,0.14175,-1.33374,0.14175,0.7578125,0.14175,0.6271973,0.14175,-35.25191,0.14175,-7.198473,0.14175,150.6412,0.2835,-92.7,0.2835,-103.3,0.2835,20.2
0.0198,0,0.1485,-1.165771,0.1485,0.1992188,0.1485,0.4943848,0.1485,-57.58779,0.1485,-15.89313,0.1485,117.229,0.297,-92.5,0.297,-101.9,0.297,20.5
0.0207,0,0.15525,-0.909668,0.15525,-0.04956055,0.15525,0.2871094,0.15525,-43.28244,0.15525,-13.68702,0.15525,110.0382,0.3105,-91,0.3105,-100,0.3105,21
0.0216,0,0.162,-0.9694824,0.162,-0.03442383,0.162,0.3300781,0.162,-25.46565,0.162,-8.969465,0.162,102.5496,0.324,-90.6,0.324,-99.7,0.324,20.4
0.0225,0,0.16875,-1.11792,0.16875,0.02929688,0.16875,0.3652344,0.16875,-10.81679,0.16875,-14.19084,0.16875,99.70229,0.3375,-90.3,0.3375,-98.7,0.3375,21.1
0.0234,0,0.1755,-1.020508,0.1755,0.126709,0.1755,0.2458496,0.1755,-4.358778,0.1755,-17.03053,0.1755,98.03817,0.351,-90.6,0.351,-98.2,0.351,21.4
0.0243,0,0.18225,-0.8649902,0.18225,0.1242676,0.18225,0.4509277,0.18225,-11.56489,0.18225,-21.68702,0.18225,84.13741,0.3645,-90.3,0.3645,-97.4,0.3645,21.6
0.0252,0,0.189,-0.6931152,0.189,0.05761719,0.189,0.5622559,0.189,8.824428,0.189,-16.87786,0.189,79.0458,0.378,-91.2,0.378,-96.6,0.378,20.9
0.0261,0,0.19575,-0.8684082,0.19575,0.3061523,0.19575,0.5681152,0.19575,7.946565,0.19575,-2.89313,0.19575,78.10687,0.3915,-91.6,0.3915,-96.2,0.3915,21.8
0.027,0,0.2025,-1.063721,0.2025,0.2739258,0.2025,0.4362793,0.2025,0.8167939,0.2025,0.6030535,0.2025,66.63359,0.405,-92.4,0.405,-94.8,0.405,21.4
0.0279,0,0.20925,-1.137939,0.20925,-0.06518555,0.20925,0.4755859,0.20925,-16.55725,0.20925,-6.015267,0.20925,44.23664,0.4185,-93.2,0.4185,-94,0.4185,23.2
0.0288,0,0.216,-1.013184,0.216,-0.1408691,0.216,0.4423828,0.216,8.320611,0.216,-4.793893,0.216,51.94656,0.432,-94,0.432,-91.8,0.432,23.6
0.0297,0,0.22275,-1.008789,0.22275,0.2458496,0.22275,0.3408203,0.22275,11.94656,0.22275,4.312977,0.22275,61.38931,0.4455,-93.7,0.4455,-89.8,0.4455,23.5
0.0306,0,0.2295,-1.20874,0.2295,0.293457,0.2295,0.362793,0.2295,3.641221,0.2295,1.664122,0.2295,52.33588,0.459,-94.8,0.459,-88.3,0.459,23.4
0.0315,0,0.23625,-1.160645,0.23625,0.145752,0.23625,0.3884277,0.23625,0.8931298,0.23625,-3.389313,0.23625,46.69466,0.4725,-94.9,0.4725,-86.4,0.4725,24.3
0.0324,0,0.243,-1.02417,0.243,0.04345703,0.243,0.3510742,0.243,-6.38168,0.243,-2.229008,0.243,39.31298,0.486,-94.5,0.486,-85,0.486,25.4
0.0333,0,0.24975,-0.9238281,0.24975,0.0234375,0.24975,0.07592773,0.24975,7.664122,0.24975,5.572519,0.24975,40.9771,0.4995,-94.7,0.4995,-83.3,0.4995,24.4
0.0342,0,0.2565,-1.089355,0.2565,0.05712891,0.2565,0.3945313,0.2565,12.65649,0.2565,0.8473282,0.2565,38.54962,0.513,-95.2,0.513,-81.6,0.513,26
0.0351,0,0.26325,-0.9355469,0.26325,0.152832,0.26325,0.345459,0.26325,17.38931,0.26325,-2.091603,0.26325,45.32824,0.5265,-95.1,0.5265,-79.6,0.5265,25.6
0.036,0,0.27,-0.9616699,0.27,0.1826172,0.27,0.3808594,0.27,9.183207,0.27,1.916031,0.27,33.70229,0.54,-93.7,0.54,-75.4,0.54,28.9
0.0369,0,0.27675,-0.970459,0.27675,0.06176758,0.27675,0.2810059,0.27675,8.091603,0.27675,0.8396947,0.27675,29.66412,0.5535,-92.5,0.5535,-72.2,0.5535,28.1
0.0378,0,0.2835,-0.9282227,0.2835,-0.007324219,0.2835,0.4733887,0.2835,10.64122,0.2835,-3.450382,0.2835,29.06107,0.567,-91.8,0.567,-70.6,0.567,28.6
0.0387,0,0.29025,-0.8041992,0.29025,0.1911621,0.29025,0.4228516,0.29025,17.0916,0.29025,0.1908397,0.29025,37.25954,0.5805,-90.4,0.5805,-67.5,0.5805,28.9
0.0396,0,0.297,-0.9003906,0.297,0.1992188,0.297,0.3850098,0.297,9.519084,0.297,6.40458,0.297,26.71756,0.594,-89,0.594,-65.1,0.594,30
0.0405,-0.0004125734,0.30375,-1.005127,0.30375,0.08984375,0.30375,0.5563965,0.30375,12.75572,0.30375,-1.244275,0.30375,25.40458,0.6075,-87.1,0.6075,-62.5,0.6075,30.4
0.0414,-0.0004018311,0.3105,-0.7993164,0.3105,0.1311035,0.3105,0.4160156,0.3105,7.229008,0.3105,2.572519,0.3105,29.48855,0.621,-85.1,0.621,-59.6,0.621,32.2
0.0423,-0.0004088807,0.31725,-0.9348145,0.31725,0.112793,0.31725,0.4182129,0.31725,12.36641,0.31725,7.519084,0.31725,23.74809,0.6345,-82.6,0.6345,-57.2,0.6345,32.5
0.0432,-0.0004231479,0.324,-0.9436035,0.324,0.08935547,0.324,0.2868652,0.324,2.48855,0.324,7.122138,0.324,23.0687,0.648,-79.5,0.648,-54.5,0.648,31.8
0.0441,-0.0004026703,0.33075,-1.017578,0.33075,0.002929688,0.33075,0.482666,0.33075,8.526717,0.33075,2.259542,0.33075,21.9771,0.6615,-73.1,0.6615,-50.3,0.6615,33.6
0.045,-0.0003934386,0.3375,-0.8918457,0.3375,0.1437988,0.3375,0.4291992,0.3375,14.16794,0.3375,1.038168,0.3375,30.51908,0.675,-68.7,0.675,-48.9,0.675,34.1
0.0459,-0.0004080415,0.34425,-0.9438477,0.34425,0.1376953,0.34425,0.2780762,0.34425,3.977099,0.34425,7.832061,0.34425,23.03053,0.6885,-63.8,0.6885,-47.2,0.6885,34.7
0.0468,-0.0004070344,0.351,-1.128418,0.351,-0.02099609,0.351,0.3703613,0.351,6.19084,0.351,-1.496183,0.351,18.54198,0.702,-58.6,0.702,-46.1,0.702,34.7
0.0477,-0.0004038453,0.35775,-0.864502,0.35775,-0.03955078,0.35775,0.3637695,0.35775,11.0687,0.35775,-3.847328,0.35775,26.14504,0.7155,-53,0.7155,-45.6,0.7155,34.9
0.0486,-0.0004078737,0.3645,-0.8752441,0.3645,0.04052734,0.3645,0.333252,0.3645,22.01527,0.3645,1.923664,0.3645,26.0229,0.729,-47.1,0.729,-46,0.729,36.1
0.0495,-0.0004213016,0.37125,-1.011475,0.37125,0.112793,0.37125,0.2751465,0.37125,25.8855,0.37125,0.7251908,0.37125,26.9542,0.7425,-42.8,0.7425,-46.7,0.7425,34.5
0.0504,-0.000443122,0.378,-0.9614258,0.378,0.1313477,0.378,0.387207,0.378,18.63359,0.378,-6.847328,0.378,29.58779,0.756,-40.5,0.756,-47.8,0.756,35.7
0.0513,-0.0004783703,0.38475,-0.8679199,0.38475,0.09057617,0.38475,0.3618164,0.38475,19.14504,0.38475,-4.610687,0.38475,28.29771,0.7695,-39.8,0.7695,-49.3,0.7695,33.7
0.0522,-0.0005273823,0.3915,-0.8886719,0.3915,0.09082031,0.3915,0.2478027,0.3915,19.90076,0.3915,-0.2442748,0.3915,28.32825,0.783,-41.6,0.783,-49.7,0.783,34.3
0.0531,-0.0005649806,0.39825,-1.003662,0.39825,-0.07299805,0.39825,0.378418,0.39825,19.07634,0.39825,-9.679389,0.39825,35.21374,0.7965,-44.3,0.7965,-49.7,0.7965,33.3
