X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)",X[s],"Trigno IM sensor 16: EMG 16 (IM)",X[s],"Trigno IM sensor 16: ACC X 16 (IM)",X[s],"Trigno IM sensor 16: ACC Y 16 (IM)",X[s],"Trigno IM sensor 16: ACC Z 16 (IM)",X[s],"Trigno IM sensor 16: Gyro X 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Y 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Z 16 (IM)",X[s],"Trigno IM sensor 16: Mag X 16 (IM)",X[s],"Trigno IM sensor 16: Mag Y 16 (IM)",X[s],"Trigno IM sensor 16: Mag Z 16 (IM)"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,-43,0.0135,-93.3,0.0135,-7.9,0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,34.5,0.0135,16,0.0135,-236.3
0.0018,0,0.0135,-1.811279,0.0135,0.8967285,0.0135,-0.07421875,0.0135,-20.66412,0.0135,-17.77099,0.0135,250.1298,0.027,-43.1,0.027,-92.9,0.027,-6.5,0.0018,0,0.0135,1.177979,0.0135,0.05200195,0.0135,0.04101563,0.0135,27.9084,0.0135,25.56489,0.0135,-90.16794,0.027,34.2,0.027,16,0.027,-237.4
0.0027,0,0.02025,-1.868896,0.02025,0.9375,0.02025,-0.06347656,0.02025,-22.8855,0.02025,-29.77099,0.02025,250.1298,0.0405,-45.4,0.0405,-92.7,0.0405,-7.7,0.0027,0,0.02025,1.130371,0.02025,-0.1555176,0.02025,-0.02734375,0.02025,22.13741,0.02025,23.81679,0.02025,-81.09161,0.0405,34.6,0.0405,16,0.0405,-236.6
0.0036,0,0.027,-1.840088,0.027,1.046387,0.027,-0.03515625,0.027,-20.67175,0.027,-41.16031,0.027,250.1298,0.054,-45.3,0.054,-91.8,0.054,-9.3,0.0036,0,0.027,1.089355,0.027,-0.0456543,0.027,-0.03515625,0.027,21.57252,0.027,33.38931,0.027,-77.66412,0.054,34.8,0.054,15.6,0.054,-237
0.0045,0,0.03375,-1.490967,0.03375,1.134277,0.03375,-0.1074219,0.03375,-13.12214,0.03375,-51.14504,0.03375,250.1298,0.0675,-46.3,0.0675,-91.3,0.0675,-8.3,0.0045,0,0.03375,1.133789,0.03375,0.1850586,0.03375,-0.06103516,0.03375,28.54962,0.03375,35.10687,0.03375,-73.0687,0.0675,34.9,0.0675,15.5,0.0675,-237.8
0.0054,0,0.0405,-1.734375,0.0405,0.9658203,0.0405,-0.1303711,0.0405,-22.10687,0.0405,-52.22901,0.0405,250.1298,0.081,-46.8,0.081,-91.2,0.081,-7.9,0.0054,0,0.0405,1.158936,0.0405,-0.1247559,0.0405,-0.03100586,0.0405,20.35878,0.0405,33.34351,0.0405,-62.15267,0.081,34.9,0.081,15.2,0.081,-239.3
0.0063,0,0.04725,-1.65918,0.04725,0.7653809,0.04725,-0.1447754,0.04725,-18.03053,0.04725,-52.64885,0.04725,250.1298,0.0945,-47.3,0.0945,-91.5,0.0945,-8.9,0.0063,0,0.04725,1.0625,0.04725,0.171875,0.04725,0.01586914,0.04725,14.23664,0.04725,37.71756,0.04725,-56.1145,0.0945,35.7,0.0945,14.8,0.0945,-239.9
0.0072,0,0.054,-1.769531,0.054,0.5891113,0.054,-0.04443359,0.054,-19.41221,0.054,-53.74046,0.054,250.1298,0.108,-47.7,0.108,-91.1,0.108,-7.9,0.0072,0,0.054,1.125244,0.054,0.2407227,0.054,-0.06640625,0.054,24.42748,0.054,42.20611,0.054,-48.8168,0.108,36.3,0.108,14.3,0.108,-241.2
0.0081,0,0.06075,-1.764893,0.06075,0.4663086,0.06075,-0.1083984,0.06075,-10.25954,0.06075,-45.44275,0.06075,250.1298,0.1215,-47,0.1215,-91.5,0.1215,-9.3,0.0081,0,0.06075,1.081055,0.06075,-0.1516113,0.06075,0.08447266,0.06075,13.19847,0.06075,31.99237,0.06075,-39.78626,0.1215,37.2,0.1215,14.5,0.1215,-239.9
0.009000001,0,0.0675,-0.9763184,0.0675,0.4406738,0.0675,-0.3076172,0.0675,-3.122137,0.0675,-45.86259,0.0675,250.1298,0.135,-47,0.135,-91.5,0.135,-8.6,0.009000001,0,0.0675,1.01001,0.0675,0.2587891,0.0675,0.05981445,0.0675,14.48855,0.0675,42.34351,0.0675,-36.38168,0.135,37.5,0.135,14.8,0.135,-241.9
