X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)",X[s],"Trigno IM sensor 16: EMG 16 (IM)",X[s],"Trigno IM sensor 16: ACC X 16 (IM)",X[s],"Trigno IM sensor 16: ACC Y 16 (IM)",X[s],"Trigno IM sensor 16: ACC Z 16 (IM)",X[s],"Trigno IM sensor 16: Gyro X 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Y 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Z 16 (IM)",X[s],"Trigno IM sensor 16: Mag X 16 (IM)",X[s],"Trigno IM sensor 16: Mag Y 16 (IM)",X[s],"Trigno IM sensor 16: Mag Z 16 (IM)"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,-19,0.0135,-85.3,0.0135,-13.3,0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,32.9,0.0135,9.3,0.0135,-274.6
0.0018,0,0.0135,0.2734375,0.0135,0.0690918,0.0135,0.9904785,0.0135,4.29771,0.0135,-2.473282,0.0135,-7.70229,0.027,-19.3,0.027,-85.6,0.027,-14,0.0018,0,0.0135,0.04541016,0.0135,0.0234375,0.0135,1.064697,0.0135,2.89313,0.0135,-2.007634,0.0135,0.1221374,0.027,32.9,0.027,9,0.027,-275.9
0.0027,0,0.02025,0.2763672,0.02025,0.06738281,0.02025,0.9934082,0.02025,2.534351,0.02025,-1.389313,0.02025,-6.419847,0.0405,-18.8,0.0405,-85.2,0.0405,-14.2,0.0027,0,0.02025,0.04345703,0.02025,0.01928711,0.02025,1.064697,0.02025,2.839695,0.02025,-2.083969,0.02025,0.3053435,0.0405,32.9,0.0405,9.5,0.0405,-275.8
0.0036,0,0.027,0.2888184,0.027,0.06298828,0.027,0.9970703,0.027,1.175573,0.027,0.0610687,0.027,-4.045802,0.054,-18.4,0.054,-85.9,0.054,-13.3,0.0036,0,0.027,0.04467773,0.027,0.02294922,0.027,1.055176,0.027,2.89313,0.027,-2.198473,0.027,0.2442748,0.054,33,0.054,9.6,0.054,-275.7
0.0045,0,0.03375,0.2915039,0.03375,0.06640625,0.03375,0.989502,0.03375,0.4580153,0.03375,1.183206,0.03375,-1.671756,0.0675,-18.9,0.0675,-85.2,0.0675,-14.4,0.0045,0,0.03375,0.04394531,0.03375,0.02832031,0.03375,1.070313,0.03375,2.824427,0.03375,-2.160305,0.03375,0.4122137,0.0675,32.8,0.0675,9.6,0.0675,-277
0.0054,0,0.0405,0.28125,0.0405,0.06542969,0.0405,0.9692383,0.0405,-0.870229,0.0405,1.335878,0.0405,-1.427481,0.081,-18.8,0.081,-85.1,0.081,-13.2,0.0054,0,0.0405,0.04614258,0.0405,0.02954102,0.0405,1.059082,0.0405,2.877863,0.0405,-2.206107,0.0405,0.2137405,0.081,32.9,0.081,9,0.081,-275.5
0.0063,0,0.04725,0.2668457,0.04725,0.07177734,0.04725,0.9619141,0.04725,-2.633588,0.04725,0.6259542,0.04725,-2.633588,0.0945,-18.9,0.0945,-85.7,0.0945,-14,0.0063,0,0.04725,0.04638672,0.04725,0.02172852,0.04725,1.068359,0.04725,2.916031,0.04725,-2.114504,0.04725,0.3587786,0.0945,32.8,0.0945,8.8,0.0945,-276
0.0072,0,0.054,0.2456055,0.054,0.07910156,0.054,0.9482422,0.054,-3.396947,0.054,-0.03816794,0.054,-4.343512,0.108,-18.9,0.108,-84.8,0.108,-14.5,0.0072,0,0.054,0.0456543,0.054,0.02172852,0.054,1.066162,0.054,3.015267,0.054,-2.160305,0.054,0.1068702,0.108,32.7,0.108,9.7,0.108,-276.4
0.0081,0,0.06075,0.2285156,0.06075,0.07250977,0.06075,0.9348145,0.06075,-4.244275,0.06075,0.1984733,0.06075,-5.977099,0.1215,-19,0.1215,-85.2,0.1215,-14.2,0.0081,0,0.06075,0.04907227,0.06075,0.02368164,0.06075,1.062012,0.06075,2.717557,0.06075,-2.259542,0.06075,0.2671756,0.1215,32.7,0.1215,9,0.1215,-275
