X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)",X[s],"Trigno IM sensor 16: EMG 16 (IM)",X[s],"Trigno IM sensor 16: ACC X 16 (IM)",X[s],"Trigno IM sensor 16: ACC Y 16 (IM)",X[s],"Trigno IM sensor 16: ACC Z 16 (IM)",X[s],"Trigno IM sensor 16: Gyro X 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Y 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Z 16 (IM)",X[s],"Trigno IM sensor 16: Mag X 16 (IM)",X[s],"Trigno IM sensor 16: Mag Y 16 (IM)",X[s],"Trigno IM sensor 16: Mag Z 16 (IM)"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,-22.2,0.0135,-94.2,0.0135,-12.6,0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,39,0.0135,12.9,0.0135,-253.3
0.0018,0,0.0135,-1.004395,0.0135,0.236084,0.0135,0.1030273,0.0135,-4.862596,0.0135,8.38168,0.0135,8.564885,0.027,-22.6,0.027,-94.9,0.027,-11.9,0.0018,0,0.0135,0.7102051,0.0135,0.07348633,0.0135,0.2331543,0.0135,-52.87023,0.0135,-94.82442,0.0135,250.1298,0.027,38.8,0.027,12.2,0.027,-252.6
0.0027,0,0.02025,-1.023926,0.02025,0.2009277,0.02025,0.07519531,0.02025,-5.877862,0.02025,4.229008,0.02025,8.59542,0.0405,-22.7,0.0405,-95.1,0.0405,-10.8,0.0027,0,0.02025,0.8122559,0.02025,0.08349609,0.02025,0.2724609,0.02025,-53.91603,0.02025,-103.1908,0.02025,250.1298,0.0405,38.7,0.0405,12.2,0.0405,-252.3
0.0036,0,0.027,-1.012939,0.027,0.25,0.027,0.09716797,0.027,-3.129771,0.027,0.5877863,0.027,9.297709,0.054,-22.6,0.054,-95.5,0.054,-10.4,0.0036,0,0.027,0.9003906,0.027,0.08398438,0.027,0.3103027,0.027,-54.64122,0.027,-108.5115,0.027,250.1298,0.054,39.6,0.054,12.2,0.054,-252.8
0.0045,0,0.03375,-1.019287,0.03375,0.1508789,0.03375,0.114502,0.03375,-7.496183,0.03375,-0.9160305,0.03375,8.229008,0.0675,-22.7,0.0675,-95.8,0.0675,-10.4,0.0045,0,0.03375,0.9726563,0.03375,0.08422852,0.03375,0.310791,0.03375,-55.01527,0.03375,-109.916,0.03375,250.1298,0.0675,40.4,0.0675,12.4,0.0675,-252.8
0.0054,0,0.0405,-0.9682617,0.0405,0.230957,0.0405,0.01757813,0.0405,-3.763359,0.0405,-4.961832,0.0405,7.587786,0.081,-23.3,0.081,-96.3,0.081,-10.8,0.0054,0,0.0405,1.038574,0.0405,0.1098633,0.0405,0.3295898,0.0405,-52.96947,0.0405,-109.7939,0.0405,250.1298,0.081,40.6,0.081,12,0.081,-250
0.0063,0,0.04725,-0.9584961,0.04725,0.1955566,0.04725,0.04589844,0.04725,-6.954198,0.04725,-11.51908,0.04725,7.450382,0.0945,-23.9,0.0945,-96.5,0.0945,-9.3,0.0063,0,0.04725,1.140625,0.04725,0.1391602,0.04725,0.3642578,0.04725,-49.58015,0.04725,-109.3206,0.04725,250.1298,0.0945,41.1,0.0945,12.4,0.0945,-249.8
0.0072,0,0.054,-1.067383,0.054,0.1894531,0.054,0.05737305,0.054,-7.305344,0.054,-14.20611,0.054,7.709924,0.108,-24.1,0.108,-96.4,0.108,-9.1,0.0072,0,0.054,1.260742,0.054,0.1611328,0.054,0.4204102,0.054,-44.16794,0.054,-105.4427,0.054,250.1298,0.108,41.2,0.108,12,0.108,-250.2
0.0081,0,0.06075,-1.096436,0.06075,0.2104492,0.06075,0.06396484,0.06075,-8.396947,0.06075,-18.06107,0.06075,8.778625,0.1215,-24.5,0.1215,-96.9,0.1215,-10,0.0081,0,0.06075,1.363037,0.06075,0.1748047,0.06075,0.4421387,0.06075,-36.71756,0.06075,-98.70992,0.06075,250.1298,0.1215,42,0.1215,11.5,0.1215,-250.4
0.009000001,0,0.0675,-1.031982,0.0675,0.217041,0.0675,0.05395508,0.0675,-11.81679,0.0675,-19.66412,0.0675,10.07634,0.135,-24.1,0.135,-96.9,0.135,-8.7,0.009000001,0,0.0675,1.480225,0.0675,0.2033691,0.0675,0.4370117,0.0675,-26.32825,0.0675,-87.30534,0.0675,250.1298,0.135,42.2,0.135,11.2,0.135,-249.7
0.0099,0,0.07425,-1.037109,0.07425,0.2324219,0.07425,0.1374512,0.07425,-10.9084,0.07425,-16.21374,0.07425,10.50382,0.1485,-24.4,0.1485,-96.9,0.1485,-8.4,0.0099,0,0.07425,1.55835,0.07425,0.2351074,0.07425,0.4499512,0.07425,-13.25954,0.07425,-72.16794,0.07425,250.1298,0.1485,42.8,0.1485,10.5,0.1485,-248.4
0.0108,0,0.081,-1.178223,0.081,0.1577148,0.081,0.1328125,0.081,-9.572519,0.081,-13.60305,0.081,13.25191,0.162,-24.8,0.162,-96.5,0.162,-8.4,0.0108,0,0.081,1.641113,0.081,0.2719727,0.081,0.4509277,0.081,-0.5343512,0.081,-57.70992,0.081,250.1298,0.162,42,0.162,10.2,0.162,-247.8
