X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)",X[s],"Trigno IM sensor 16: EMG 16 (IM)",X[s],"Trigno IM sensor 16: ACC X 16 (IM)",X[s],"Trigno IM sensor 16: ACC Y 16 (IM)",X[s],"Trigno IM sensor 16: ACC Z 16 (IM)",X[s],"Trigno IM sensor 16: Gyro X 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Y 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Z 16 (IM)",X[s],"Trigno IM sensor 16: Mag X 16 (IM)",X[s],"Trigno IM sensor 16: Mag Y 16 (IM)",X[s],"Trigno IM sensor 16: Mag Z 16 (IM)"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,0,0.0135,0,0.0135,0,0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,0,0.0135,0,0.0135,0
0.0018,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.027,-22.2,0.027,-77.9,0.027,-11.3,0.0018,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.027,54.2,0.027,26.7,0.027,-278
0.0027,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.0405,-22.1,0.0405,-78.2,0.0405,-11.1,0.0027,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.0405,54.7,0.0405,26.5,0.0405,-276.5
0.0036,0,0.027,-0.02294922,0.027,0.1574707,0.027,0.9719238,0.027,-0.07633588,0.027,1.267176,0.027,0.5877863,0.054,-22.1,0.054,-77.5,0.054,-12,0.0036,0,0.027,0.02416992,0.027,0.01269531,0.027,1.072266,0.027,2.59542,0.027,-2.167939,0.027,0.5801527,0.054,54.9,0.054,27,0.054,-277.4
0.0045,0,0.03375,-0.02416992,0.03375,0.1557617,0.03375,0.970459,0.03375,0.007633588,0.03375,1.274809,0.03375,0.8091603,0.0675,-22.4,0.0675,-77.5,0.0675,-11.1,0.0045,0,0.03375,0.01782227,0.03375,0.01049805,0.03375,1.074707,0.03375,2.70229,0.03375,-2.045802,0.03375,0.4503817,0.0675,54.5,0.0675,27,0.0675,-276.6
0.0054,0,0.0405,-0.02001953,0.0405,0.1591797,0.0405,0.9787598,0.0405,-0.06870229,0.0405,1.229008,0.0405,0.648855,0.081,-22.4,0.081,-77.7,0.081,-10.7,0.0054,0,0.0405,0.02246094,0.0405,0.01318359,0.0405,1.073975,0.0405,2.732824,0.0405,-2.236641,0.0405,0.519084,0.081,54.8,0.081,26.7,0.081,-277
0.0063,0,0.04725,-0.02294922,0.04725,0.1591797,0.04725,0.9702148,0.04725,-0.1603053,0.04725,1.206107,0.04725,0.8015267,0.0945,-22.4,0.0945,-77.7,0.0945,-11.7,0.0063,0,0.04725,0.02270508,0.04725,0.01171875,0.04725,1.077148,0.04725,2.78626,0.04725,-2.160305,0.04725,0.4961832,0.0945,54.8,0.0945,26.3,0.0945,-277.2
0.0072,0,0.054,-0.02294922,0.054,0.1550293,0.054,0.9743652,0.054,0.02290076,0.054,1.038168,0.054,0.7862595,0.108,-22.5,0.108,-77.2,0.108,-11.2,0.0072,0,0.054,0.01708984,0.054,0.01098633,0.054,1.07666,0.054,2.648855,0.054,-2.206107,0.054,0.5801527,0.108,54.6,0.108,26.4,0.108,-277.4
0.0081,0,0.06075,-0.02392578,0.06075,0.1584473,0.06075,0.9741211,0.06075,-0.0610687,0.06075,1.236641,0.06075,0.6564885,0.1215,-22.3,0.1215,-77.8,0.1215,-11.4,0.0081,0,0.06075,0.02026367,0.06075,0.01318359,0.06075,1.075684,0.06075,2.633588,0.06075,-2.251908,0.06075,0.5648855,0.1215,54.2,0.1215,26.3,0.1215,-277.2
0.009000001,0,0.0675,-0.02319336,0.0675,0.1550293,0.0675,0.9787598,0.0675,-0.2671756,0.0675,1.229008,0.0675,0.648855,0.135,-22.7,0.135,-77.7,0.135,-12.2,0.009000001,0,0.0675,0.02368164,0.0675,0.01098633,0.0675,1.078125,0.0675,2.587786,0.0675,-2.152672,0.0675,0.4045801,0.135,54.4,0.135,26.4,0.135,-277.6
0.0099,0,0.07425,-0.03125,0.07425,0.1608887,0.07425,0.9775391,0.07425,-0.01526718,0.07425,1.053435,0.07425,0.6946565,0.1485,-22.5,0.1485,-77.3,0.1485,-11.3,0.0099,0,0.07425,0.02392578,0.07425,0.01171875,0.07425,1.07959,0.07425,2.793893,0.07425,-1.946565,0.07425,0.4045801,0.1485,54.3,0.1485,26.8,0.1485,-276.4
0.0108,0,0.081,-0.02368164,0.081,0.1618652,0.081,0.9748535,0.081,-0.2061069,0.081,1.221374,0.081,0.6641222,0.162,-22,0.162,-77.6,0.162,-10.6,0.0108,0,0.081,0.01977539,0.081,0.01342773,0.081,1.083984,0.081,2.59542,0.081,-2.045802,0.081,0.5114504,0.162,54.9,0.162,26.3,0.162,-277
0.0117,0,0.08775,-0.0222168,0.08775,0.1518555,0.08775,0.9785156,0.08775,-0.0610687,0.08775,1.305344,0.08775,0.8091603,0.1755,-22.6,0.1755,-78.1,0.1755,-10.9,0.0117,0,0.08775,0.01611328,0.08775,0.009277344,0.08775,1.072021,0.08775,2.557252,0.08775,-2.091603,0.08775,0.4961832,0.1755,54.5,0.1755,26.7,0.1755,-275.9
0.0126,0,0.0945,-0.02709961,0.0945,0.1520996,0.0945,0.9682617,0.0945,-0.3282443,0.0945,1.244275,0.0945,0.5114504,0.189,-22.4,0.189,-77.5,0.189,-12.3,0.0126,0,0.0945,0.02490234,0.0945,0.01489258,0.0945,1.07373,0.0945,2.656489,0.0945,-2.145038,0.0945,0.3816794,0.189,54.6,0.189,27.2,0.189,-277.6
0.0135,0,0.10125,-0.02563477,0.10125,0.1542969,0.10125,0.9780273,0.10125,-0.2137405,0.10125,1.091603,0.10125,0.8244275,0.2025,-22.4,0.2025,-77.5,0.2025,-10.5,0.0135,0,0.10125,0.02075195,0.10125,0.01220703,0.10125,1.080566,0.10125,2.740458,0.10125,-2.053435,0.10125,0.5267175,0.2025,54.5,0.2025,26.3,0.2025,-277.6
