X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)",X[s],"Trigno IM sensor 16: EMG 16 (IM)",X[s],"Trigno IM sensor 16: ACC X 16 (IM)",X[s],"Trigno IM sensor 16: ACC Y 16 (IM)",X[s],"Trigno IM sensor 16: ACC Z 16 (IM)",X[s],"Trigno IM sensor 16: Gyro X 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Y 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Z 16 (IM)",X[s],"Trigno IM sensor 16: Mag X 16 (IM)",X[s],"Trigno IM sensor 16: Mag Y 16 (IM)",X[s],"Trigno IM sensor 16: Mag Z 16 (IM)"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,0,0.0135,0,0.0135,0,0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,0,0.0135,0,0.0135,0
0.0018,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.027,-53.1,0.027,-100.7,0.027,2.1,0.0018,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.027,35.3,0.027,25.9,0.027,-274.9
0.0027,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.0405,-52.1,0.0405,-100.8,0.0405,2.9,0.0027,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.0405,35.7,0.0405,25,0.0405,-274.6
0.0036,0,0.027,0.3330078,0.027,4.47168,0.027,0.7470703,0.027,-2.835366,0.027,1.646341,0.027,-0.1219512,0.054,-52.8,0.054,-100.9,0.054,2.3,0.0036,0,0.027,0.1257324,0.027,1.006104,0.027,0.1296387,0.027,2.652439,0.027,-3.871951,0.027,0.3353659,0.054,35.6,0.054,25.4,0.054,-274.3
0.0045,0,0.03375,0.3144531,0.03375,4.505859,0.03375,0.7753906,0.03375,-2.713415,0.03375,1.768293,0.03375,-0.152439,0.0675,-52.6,0.0675,-100.6,0.0675,2.2,0.0045,0,0.03375,0.1228027,0.03375,0.9980469,0.03375,0.1340332,0.03375,2.347561,0.03375,-3.810976,0.03375,0.4878049,0.0675,35.3,0.0675,25,0.0675,-275.4
0.0054,0,0.0405,0.3164063,0.0405,4.49707,0.0405,0.7529297,0.0405,-1.981707,0.0405,1.646341,0.0405,0.2743903,0.081,-52.2,0.081,-100.6,0.081,1.7,0.0054,0,0.0405,0.119873,0.0405,0.994873,0.0405,0.1374512,0.0405,2.256098,0.0405,-3.780488,0.0405,0.3963415,0.081,35.8,0.081,25.3,0.081,-276.2
0.0063,0,0.04725,0.2861328,0.04725,4.489258,0.04725,0.7714844,0.04725,-1.52439,0.04725,1.036585,0.04725,1.067073,0.0945,-52.2,0.0945,-101,0.0945,2.6,0.0063,0,0.04725,0.1269531,0.04725,0.9914551,0.04725,0.1345215,0.04725,2.378049,0.04725,-3.628049,0.04725,0.5182927,0.0945,35.4,0.0945,25.6,0.0945,-274.6
0.0072,0,0.054,0.2783203,0.054,4.498047,0.054,0.765625,0.054,-2.804878,0.054,1.585366,0.054,0.7012195,0.108,-52.2,0.108,-100.7,0.108,3.8,0.0072,0,0.054,0.1303711,0.054,1.001953,0.054,0.137207,0.054,2.682927,0.054,-3.506098,0.054,0.2743903,0.108,35.6,0.108,24.8,0.108,-274.9
0.0081,0,0.06075,0.3066406,0.06075,4.486328,0.06075,0.7431641,0.06075,-3.353659,0.06075,1.036585,0.06075,1.097561,0.1215,-52.3,0.1215,-101,0.1215,2,0.0081,0,0.06075,0.1306152,0.06075,0.9919434,0.06075,0.1320801,0.06075,2.682927,0.06075,-3.841464,0.06075,0.1829268,0.1215,35.3,0.1215,25.3,0.1215,-275
0.009000001,0,0.0675,0.2724609,0.0675,4.487305,0.0675,0.7373047,0.0675,-3.567073,0.0675,1.707317,0.0675,2.286585,0.135,-52.5,0.135,-101.2,0.135,2.7,0.009000001,0,0.0675,0.1293945,0.0675,0.9919434,0.0675,0.1337891,0.0675,2.743902,0.0675,-3.963415,0.0675,0.2134146,0.135,35.7,0.135,24.8,0.135,-276.8
0.0099,0,0.07425,0.2861328,0.07425,4.50293,0.07425,0.7285156,0.07425,-4.634146,0.07425,1.707317,0.07425,1.310976,0.1485,-52.2,0.1485,-100.9,0.1485,1.6,0.0099,0,0.07425,0.125,0.07425,0.9943848,0.07425,0.1394043,0.07425,2.713415,0.07425,-4.268293,0.07425,0.2743903,0.1485,36.1,0.1485,24.7,0.1485,-274.8
0.0108,0,0.081,0.2861328,0.081,4.489258,0.081,0.7226563,0.081,-5.152439,0.081,1.402439,0.081,1.981707,0.162,-52.7,0.162,-100.5,0.162,2.4,0.0108,0,0.081,0.1340332,0.081,0.9985352,0.081,0.1328125,0.081,2.652439,0.081,-4.207317,0.081,0.2439024,0.162,35.5,0.162,24.7,0.162,-274.6
0.0117,0,0.08775,0.3027344,0.08775,4.490234,0.08775,0.7324219,0.08775,-5.030488,0.08775,0.3658537,0.08775,2.987805,0.1755,-52.6,0.1755,-100.7,0.1755,2.5,0.0117,0,0.08775,0.1313477,0.08775,0.9970703,0.08775,0.1398926,0.08775,2.804878,0.08775,-4.146341,0.08775,0.09146342,0.1755,35.8,0.1755,25,0.1755,-276.4
0.0126,0,0.0945,0.2802734,0.0945,4.482422,0.0945,0.7353516,0.0945,-3.506098,0.0945,-0.5792683,0.0945,1.890244,0.189,-52.6,0.189,-100.6,0.189,1.7,0.0126,0,0.0945,0.1315918,0.0945,0.9990234,0.0945,0.1230469,0.0945,2.713415,0.0945,-4.268293,0.0945,0.2743903,0.189,35.4,0.189,25.6,0.189,-275.4
0.0135,0,0.10125,0.3017578,0.10125,4.5,0.10125,0.7597656,0.10125,-2.378049,0.10125,-0.7926829,0.10125,1.341463,0.2025,-52.7,0.2025,-100.2,0.2025,2.2,0.0135,0,0.10125,0.1325684,0.10125,0.9956055,0.10125,0.1276855,0.10125,2.804878,0.10125,-3.810976,0.10125,0.152439,0.2025,35.9,0.2025,25.2,0.2025,-276.9
