X[s],"Trigno IM sensor 11: EMG 11 (IM)",X[s],"Trigno IM sensor 11: ACC X 11 (IM)",X[s],"Trigno IM sensor 11: ACC Y 11 (IM)",X[s],"Trigno IM sensor 11: ACC Z 11 (IM)",X[s],"Trigno IM sensor 11: Gyro X 11 (IM)",X[s],"Trigno IM sensor 11: Gyro Y 11 (IM)",X[s],"Trigno IM sensor 11: Gyro Z 11 (IM)",X[s],"Trigno IM sensor 11: Mag X 11 (IM)",X[s],"Trigno IM sensor 11: Mag Y 11 (IM)",X[s],"Trigno IM sensor 11: Mag Z 11 (IM)",X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,0,0.0135,0,0.0135,0,0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,0,0.0135,0,0.0135,0
0.0018,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.027,0,0.027,0,0.027,0,0.0018,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.027,0,0.027,0,0.027,0
0.0027,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.0405,-37.8,0.0405,-124.4,0.0405,24.7,0.0027,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.0405,11.1,0.0405,30.8,0.0405,-281.5
0.0036,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.054,-38.3,0.054,-124.4,0.054,25.1,0.0036,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.054,11.9,0.054,30,0.054,-281.7
0.0045,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.0675,-39,0.0675,-124.8,0.0675,24.2,0.0045,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.0675,11.7,0.0675,30.2,0.0675,-282.6
0.0054,0,0.0405,-0.2460938,0.0405,-0.7988281,0.0405,-0.3115234,0.0405,-23.51145,0.0405,-4.114504,0.0405,16.0916,0.081,-39.5,0.081,-124.3,0.081,24.3,0.0054,0,0.0405,1.010498,0.0405,-0.5212402,0.0405,-0.376709,0.0405,0.3358779,0.0405,-70.24428,0.0405,-66.92367,0.081,12,0.081,29.5,0.081,-283.5
0.0063,0,0.04725,-0.3381348,0.04725,-0.8190918,0.04725,-0.270752,0.04725,-27.52672,0.04725,-14.63359,0.04725,20.45802,0.0945,-39.9,0.0945,-124.4,0.0945,23.7,0.0063,0,0.04725,1.082031,0.04725,-0.4543457,0.04725,-0.7246094,0.04725,-0.8244275,0.04725,-47.25954,0.04725,-62.12214,0.0945,11.9,0.0945,29,0.0945,-282.8
0.0072,0,0.054,-0.3464355,0.054,-0.8530273,0.054,-0.2209473,0.054,-27.45038,0.054,-23.9771,0.054,24.37405,0.108,-40.9,0.108,-124.7,0.108,23.5,0.0072,0,0.054,1.103516,0.054,-0.4099121,0.054,-0.8378906,0.054,-23.67939,0.054,11.87786,0.054,-58.29771,0.108,12.5,0.108,29.5,0.108,-283.8
0.0081,0,0.06075,-0.3479004,0.06075,-0.8857422,0.06075,-0.1828613,0.06075,-25.60305,0.06075,-17.13741,0.06075,28.10687,0.1215,-41.7,0.1215,-124.7,0.1215,24,0.0081,0,0.06075,0.9858398,0.06075,-0.4052734,0.06075,-0.642334,0.06075,-42.64122,0.06075,70.05344,0.06075,-53.61832,0.1215,13.6,0.1215,30,0.1215,-284.2
0.009000001,0,0.0675,-0.2844238,0.0675,-0.8830566,0.0675,-0.282959,0.0675,-22.08397,0.0675,-17.31298,0.0675,29.28244,0.135,-42.2,0.135,-125,0.135,23.6,0.009000001,0,0.0675,0.8098145,0.0675,-0.4328613,0.0675,-0.2685547,0.0675,-42.12977,0.0675,95.27481,0.0675,-45.66412,0.135,13.7,0.135,31.1,0.135,-284.8
0.0099,0,0.07425,-0.2648926,0.07425,-0.8476563,0.07425,-0.3154297,0.07425,-20.83206,0.07425,-23.98473,0.07425,31.20611,0.1485,-43.1,0.1485,-125.3,0.1485,23.5,0.0099,0,0.07425,0.6359863,0.07425,-0.4350586,0.07425,-0.05688477,0.07425,-31.82443,0.07425,81.09161,0.07425,-37.26717,0.1485,14.3,0.1485,31.2,0.1485,-285.9
0.0108,0,0.081,-0.2473145,0.081,-0.8295898,0.081,-0.2800293,0.081,-21.92366,0.081,-23.44275,0.081,32.45038,0.162,-43.5,0.162,-125,0.162,23.9,0.0108,0,0.081,0.3603516,0.081,-0.4467773,0.081,-0.1025391,0.081,-13.33588,0.081,51.0458,0.081,-21.16031,0.162,15.8,0.162,33.4,0.162,-285.6
0.0117,0,0.08775,-0.2504883,0.08775,-0.824707,0.08775,-0.2214355,0.08775,-22.86259,0.08775,-28.82443,0.08775,33.69466,0.1755,-44.5,0.1755,-124.8,0.1755,23.2,0.0117,0,0.08775,0.1591797,0.08775,-0.434082,0.08775,-0.2160645,0.08775,-6.137404,0.08775,41.42748,0.08775,2.068702,0.1755,16.7,0.1755,34.5,0.1755,-284.2
0.0126,0,0.0945,-0.197998,0.0945,-0.8371582,0.0945,-0.2226563,0.0945,-20.81679,0.0945,-37.17557,0.0945,34.14504,0.189,-45.1,0.189,-125.2,0.189,22.1,0.0126,0,0.0945,0.1020508,0.0945,-0.4172363,0.0945,-0.1337891,0.0945,-9.702291,0.0945,41.73283,0.0945,23.76336,0.189,17.5,0.189,35.9,0.189,-285.1
0.0135,0,0.10125,-0.1196289,0.10125,-0.8413086,0.10125,-0.2490234,0.10125,-22.09924,0.10125,-32.07634,0.10125,32.9313,0.2025,-45.9,0.2025,-124.8,0.2025,21.3,0.0135,0,0.10125,0.1315918,0.10125,-0.4003906,0.10125,0.08691406,0.10125,-13.12977,0.10125,35.78626,0.10125,45.24427,0.2025,18.2,0.2025,37.6,0.2025,-284.6
0.0144,0,0.108,-0.0534668,0.108,-0.8413086,0.108,-0.2663574,0.108,-19.81679,0.108,-29.70992,0.108,30.0687,0.216,-46.1,0.216,-124.8,0.216,21.1,0.0144,0,0.108,0.2570801,0.108,-0.3759766,0.108,0.2468262,0.108,-9.335877,0.108,13.78626,0.108,57.9771,0.216,19.2,0.216,38.5,0.216,-283.6
