X[s],"Trigno IM sensor 13: EMG 13 (IM)",X[s],"Trigno IM sensor 13: ACC X 13 (IM)",X[s],"Trigno IM sensor 13: ACC Y 13 (IM)",X[s],"Trigno IM sensor 13: ACC Z 13 (IM)",X[s],"Trigno IM sensor 13: Gyro X 13 (IM)",X[s],"Trigno IM sensor 13: Gyro Y 13 (IM)",X[s],"Trigno IM sensor 13: Gyro Z 13 (IM)",X[s],"Trigno IM sensor 13: Mag X 13 (IM)",X[s],"Trigno IM sensor 13: Mag Y 13 (IM)",X[s],"Trigno IM sensor 13: Mag Z 13 (IM)"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,0,0.0135,0,0.0135,0
0.0018,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.027,0,0.027,0,0.027,0
0.0027,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.0405,-39.5,0.0405,-73.6,0.0405,-21.3
0.0036,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.054,-38.7,0.054,-74.3,0.054,-20.3
0.0045,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.0675,-39.3,0.0675,-73.5,0.0675,-20.4
0.0054,0,0.0405,1.279541,0.0405,-0.07861328,0.0405,0.7641602,0.0405,3.89313,0.0405,19.70229,0.0405,40.91603,0.081,-39,0.081,-73.6,0.081,-20.3
0.0063,0,0.04725,1.220459,0.04725,0.3168945,0.04725,0.4802246,0.04725,16.1145,0.04725,7.396946,0.04725,36.80916,0.0945,-38.4,0.0945,-73.1,0.0945,-19.8
0.0072,0,0.054,1.169678,0.054,0.4360352,0.054,0.1760254,0.054,15.8855,0.054,-1.442748,0.054,28.45802,0.108,-38.2,0.108,-73.5,0.108,-19.8
0.0081,0,0.06075,1.090576,0.06075,0.4187012,0.06075,-0.05078125,0.06075,4.740458,0.06075,-11.44275,0.06075,23.14504,0.1215,-37.9,0.1215,-74,0.1215,-19.1
0.009000001,0,0.0675,1.088867,0.0675,0.3625488,0.0675,-0.1184082,0.0675,-11.66412,0.0675,-12.55725,0.0675,23.03053,0.135,-37.3,0.135,-73.9,0.135,-19.6
0.0099,0,0.07425,1.053467,0.07425,0.3366699,0.07425,-0.09057617,0.07425,-22.52672,0.07425,-14.34351,0.07425,22.54962,0.1485,-37.6,0.1485,-73.6,0.1485,-20.6
0.0108,0,0.081,0.9997559,0.081,0.3198242,0.081,-0.07421875,0.081,-30.13741,0.081,-15.84733,0.081,22.0458,0.162,-37.5,0.162,-73.5,0.162,-20.5
0.0117,0,0.08775,0.9350586,0.08775,0.2763672,0.08775,-0.1103516,0.08775,-40.64122,0.08775,-17.39695,0.08775,24.09924,0.1755,-37.5,0.1755,-73.2,0.1755,-20.9
0.0126,0,0.0945,0.9116211,0.0945,0.2697754,0.0945,-0.2062988,0.0945,-47.20611,0.0945,-18.79389,0.0945,26.9313,0.189,-37.5,0.189,-73.6,0.189,-19.1
0.0135,0,0.10125,0.9313965,0.10125,0.2973633,0.10125,-0.2946777,0.10125,-55.25191,0.10125,-19.87786,0.10125,26.12977,0.2025,-37.4,0.2025,-73.5,0.2025,-21.3
0.0144,0,0.108,0.9638672,0.108,0.2912598,0.108,-0.3334961,0.108,-62.69466,0.108,-19.60305,0.108,24.25191,0.216,-37.1,0.216,-73.6,0.216,-18.6
0.0153,0,0.11475,0.9963379,0.11475,0.2333984,0.11475,-0.3242188,0.11475,-62.20611,0.11475,-16.12977,0.11475,21.58779,0.2295,-37.1,0.2295,-74.1,0.2295,-20.6
0.0162,0,0.1215,1.015381,0.1215,0.215332,0.1215,-0.2817383,0.1215,-61.99237,0.1215,-12.53435,0.1215,19.0916,0.243,-37.7,0.243,-73.6,0.243,-20.6
0.0171,0,0.12825,1.029541,0.12825,0.2102051,0.12825,-0.2341309,0.12825,-54.70229,0.12825,-8.519084,0.12825,15.39695,0.2565,-37,0.2565,-73.1,0.2565,-20.2
0.018,0,0.135,1.019043,0.135,0.189209,0.135,-0.2165527,0.135,-47.8855,0.135,-6.70229,0.135,12.29008,0.27,-37.1,0.27,-73.7,0.27,-21.4
0.0189,0,0.14175,1.012207,0.14175,0.159668,0.14175,-0.199707,0.14175,-40.0458,0.14175,-3.694656,0.14175,8.274809,0.2835,-37.3,0.2835,-73.2,0.2835,-18.5
0.0198,0,0.1485,0.9931641,0.1485,0.1225586,0.1485,-0.1914063,0.1485,-27.1145,0.1485,-1.038168,0.1485,4.259542,0.297,-37.1,0.297,-73.1,0.297,-20.9
0.0207,0,0.15525,0.970459,0.15525,0.1452637,0.15525,-0.1635742,0.15525,-16.28244,0.15525,0.9694657,0.15525,0.8473282,0.3105,-37.6,0.3105,-73.5,0.3105,-20.5
0.0216,0,0.162,0.9575195,0.162,0.1982422,0.162,-0.130127,0.162,-8.740458,0.162,2.618321,0.162,-1.244275,0.324,-37.6,0.324,-73.5,0.324,-19.8
0.0225,0,0.16875,0.9667969,0.16875,0.2434082,0.16875,-0.1013184,0.16875,-6.229008,0.16875,3.114504,0.16875,-2.671756,0.3375,-37.5,0.3375,-72.9,0.3375,-19.8
0.0234,0,0.1755,0.9838867,0.1755,0.2663574,0.1755,-0.07543945,0.1755,-5.229008,0.1755,4.122138,0.1755,-4.152672,0.351,-36.9,0.351,-73.2,0.351,-20.5
0.0243,0,0.18225,0.9907227,0.18225,0.2663574,0.18225,-0.06518555,0.18225,-4.435114,0.18225,3.312977,0.18225,-5,0.3645,-37.2,0.3645,-73.3,0.3645,-20.4
0.0252,0,0.189,1,0.189,0.2873535,0.189,-0.05200195,0.189,-5.496183,0.189,1.259542,0.189,-5.687023,0.378,-37.2,0.378,-73,0.378,-19.1
0.0261,0,0.19575,1.011963,0.19575,0.2753906,0.19575,-0.0625,0.19575,-4.229008,0.19575,0.9923664,0.19575,-6.274809,0.3915,-37.1,0.3915,-73.5,0.3915,-19.6
0.027,0,0.2025,1.003174,0.2025,0.2773438,0.2025,-0.06225586,0.2025,-4.259542,0.2025,-0.1603053,0.2025,-6.717557,0.405,-37.2,0.405,-73.3,0.405,-19.2
0.0279,0,0.20925,0.9951172,0.20925,0.2834473,0.20925,-0.08398438,0.20925,-4.38168,0.20925,-1.114504,0.20925,-6.877862,0.4185,-37.5,0.4185,-73.5,0.4185,-20.4
0.0288,0,0.216,0.9975586,0.216,0.2944336,0.216,-0.08251953,0.216,-3.832061,0.216,-1.335878,0.216,-6.519084,0.432,-36.9,0.432,-73.2,0.432,-18.8
0.0297,0,0.22275,0.9909668,0.22275,0.2922363,0.22275,-0.1027832,0.22275,-3.992366,0.22275,-2.259542,0.22275,-6.10687,0.4455,-37.4,0.4455,-72.9,0.4455,-20
0.0306,0,0.2295,0.9848633,0.2295,0.2998047,0.2295,-0.1149902,0.2295,-4.465649,0.2295,-2.328244,0.2295,-6.076336,0.459,-37.6,0.459,-72.8,0.459,-19.5
0.0315,0,0.23625,0.9780273,0.23625,0.3083496,0.23625,-0.1193848,0.23625,-3.725191,0.23625,-2.656489,0.23625,-5.541985,0.4725,-37.3,0.4725,-73.6,0.4725,-20.3
0.0324,0,0.243,0.9692383,0.243,0.3078613,0.243,-0.1166992,0.243,-3.854962,0.243,-2.755725,0.243,-4.664122,0.486,-37.8,0.486,-73.1,0.486,-19.2
0.0333,0,0.24975,0.9641113,0.24975,0.3095703,0.24975,-0.1247559,0.24975,-4.648855,0.24975,-2.908397,0.24975,-3.832061,0.4995,-37.6,0.4995,-72.6,0.4995,-19.1
0.0342,0,0.2565,0.9638672,0.2565,0.3066406,0.2565,-0.126709,0.2565,-4.244275,0.2565,-3.328244,0.2565,-2.839695,0.513,-37.1,0.513,-72.9,0.513,-20
0.0351,0,0.26325,0.963623,0.26325,0.3132324,0.26325,-0.125,0.26325,-4.709924,0.26325,-3.70229,0.26325,-2.48855,0.5265,-37.5,0.5265,-72.6,0.5265,-20.5
0.036,0,0.27,0.9709473,0.27,0.3085938,0.27,-0.1164551,0.27,-5.236641,0.27,-3.656489,0.27,-2.022901,0.54,-37.4,0.54,-73.5,0.54,-19.8
0.0369,0,0.27675,0.9731445,0.27675,0.2956543,0.27675,-0.1247559,0.27675,-4.290076,0.27675,-4.122138,0.27675,-1.152672,0.5535,-37.4,0.5535,-72.6,0.5535,-19.6
0.0378,0,0.2835,0.9680176,0.2835,0.2963867,0.2835,-0.1320801,0.2835,-3.633588,0.2835,-3.618321,0.2835,-0.8931298,0.567,-37.8,0.567,-73.3,0.567,-19
0.0387,0,0.29025,0.9812012,0.29025,0.2907715,0.29025,-0.1357422,0.29025,-2.480916,0.29025,-3.335878,0.29025,-0.4122137,0.5805,-37.9,0.5805,-73.1,0.5805,-20
0.0396,0,0.297,0.9782715,0.297,0.2773438,0.297,-0.1484375,0.297,-0.8396947,0.297,-3.030534,0.297,-0.4122137,0.594,-37.4,0.594,-72.6,0.594,-20.3
0.0405,-2.131685E-05,0.30375,0.979248,0.30375,0.2836914,0.30375,-0.1435547,0.30375,0.5343512,0.30375,-2.503817,0.30375,-0.04580153,0.6075,-37.9,0.6075,-72.8,0.6075,-20.3
0.0414,-2.853437E-06,0.3105,0.9855957,0.3105,0.2895508,0.3105,-0.1437988,0.3105,1.351145,0.3105,-2.068702,0.3105,-0.3740458,0.621,-38.1,0.621,-72.6,0.621,-20.2
0.0423,1.560998E-05,0.31725,0.9777832,0.31725,0.2922363,0.31725,-0.1584473,0.31725,0.7251908,0.31725,-1.969466,0.31725,0.1526718,0.6345,-37.4,0.6345,-73.5,0.6345,-20.2
0.0432,2.618448E-05,0.324,0.9768066,0.324,0.2844238,0.324,-0.1479492,0.324,-0.2442748,0.324,-1.572519,0.324,0.1679389,0.648,-37.5,0.648,-73.6,0.648,-19.8
0.0441,3.675898E-05,0.33075,0.9812012,0.33075,0.2783203,0.33075,-0.1447754,0.33075,0.129771,0.33075,-1.48855,0.33075,0.4656489,0.6615,-37.8,0.6615,-72.7,0.6615,-18.3
0.045,5.085832E-05,0.3375,0.9855957,0.3375,0.28125,0.3375,-0.1369629,0.3375,0.3053435,0.3375,-1.305344,0.3375,0.610687,0.675,-37.3,0.675,-73.4,0.675,-18.8
0.0459,5.572595E-05,0.34425,0.9846191,0.34425,0.2797852,0.34425,-0.1384277,0.34425,-1.366412,0.34425,-1.267176,0.34425,0.2442748,0.6885,-37.4,0.6885,-73.8,0.6885,-18.6
0.0468,6.126497E-05,0.351,0.9863281,0.351,0.265625,0.351,-0.1323242,0.351,0.03816794,0.351,-1.274809,0.351,0.09923664,0.702,-37.4,0.702,-73.2,0.702,-18.9
0.0477,6.965744E-05,0.35775,0.9858398,0.35775,0.2702637,0.35775,-0.1274414,0.35775,0.3282443,0.35775,-1.068702,0.35775,-0.1908397,0.7155,-37.2,0.7155,-73.1,0.7155,-18.9
0.0486,7.637141E-05,0.3645,0.9831543,0.3645,0.2751465,0.3645,-0.1323242,0.3645,0.1145038,0.3645,-1.267176,0.3645,-0.5496183,0.729,-37.4,0.729,-73.4,0.729,-18.7
0.0495,7.80499E-05,0.37125,0.9848633,0.37125,0.2788086,0.37125,-0.1330566,0.37125,-0.7633588,0.37125,-1.389313,0.37125,-0.7938932,0.7425,-37.4,0.7425,-73.1,0.7425,-19.9
0.0504,8.107119E-05,0.378,0.9804688,0.378,0.2683105,0.378,-0.1240234,0.378,-0.02290076,0.378,-1.40458,0.378,-1.145038,0.756,-37.5,0.756,-73.3,0.756,-19.2
0.0513,8.82887E-05,0.38475,0.9812012,0.38475,0.2661133,0.38475,-0.1254883,0.38475,1.160305,0.38475,-1.51145,0.38475,-1.335878,0.7695,-38.2,0.7695,-73.9,0.7695,-19.6
